Date,Open,High,Low,Close,Adj Cose,Volume,Next High,Next Low
19-02-1997,9.17778,9.33,9.09778,9.30778,0.000219,465813000,9.32222,9.18444
20-02-1997,9.24444,9.32222,9.18444,9.25222,0.000218,275224500,9.23333,9.09
21-02-1997,9.2,9.23333,9.09,9.13889,0.000215,269014500,9.10889,8.69444
24-02-1997,9.08889,9.10889,8.69444,8.77333,0.000206,436711500,8.9,8.48889
25-02-1997,8.74889,8.9,8.48889,8.62333,0.000203,397480500,8.66222,8.38556
26-02-1997,8.57778,8.66222,8.38556,8.59889,0.000202,438646500,8.8,8.57889
27-02-1997,8.68889,8.8,8.57889,8.76889,0.000206,331038000,9.67111,9.24889
28-02-1997,9.51111,9.67111,9.24889,9.47222,0.000223,144148500,9.93333,9.60556
03-03-1997,9.82444,9.93333,9.60556,9.64778,0.000227,337882500,10.2156,9.55778
04-03-1997,9.64778,10.2156,9.55778,10.07,0.000237,569682000,10.5111,9.92333
05-03-1997,10.4,10.5111,9.92333,10.1089,0.000238,517167000,10.0878,9.89111
06-03-1997,9.97778,10.0878,9.89111,10.0033,0.000235,329967000,9.86667,9.51111
10-03-1997,9.83111,9.86667,9.51111,9.56333,0.000225,357646500,9.74667,9.15556
11-03-1997,9.48889,9.74667,9.15556,9.33,0.00022,440041500,9.77333,9.50222
12-03-1997,9.60111,9.77333,9.50222,9.67,0.000228,451084500,9.72333,9.41333
13-03-1997,9.72333,9.72333,9.41333,9.44556,0.000222,306225000,9.66667,9.32222
14-03-1997,9.37778,9.66667,9.32222,9.59444,0.000226,424129500,9.64333,9.49
17-03-1997,9.6,9.64333,9.49,9.52889,0.000224,276655500,9.61444,9.29444
18-03-1997,9.5,9.61444,9.29444,9.37667,0.000221,310761000,9.57778,9.06667
19-03-1997,9.55556,9.57778,9.06667,9.14889,0.000215,285975000,9.28222,9.00889
20-03-1997,9.09444,9.28222,9.00889,9.17333,0.000216,412114500,9.48778,9.22889
21-03-1997,9.24444,9.48778,9.22889,9.42111,0.000222,430803000,9.52889,9.28
25-03-1997,9.50667,9.52889,9.28,9.33778,0.00022,299259000,9.44222,9.14111
